Image,x0,y0,x1,y1
00028a005.jpg,87,105,956,380
000dcf7d8.jpg,3,5,676,342
000e7c7df.jpg,144,80,921,526
0019c34f4.jpg,25,24,1017,262
001a4d292.jpg,34,88,662,333
00247bc36.jpg,29,203,999,386
0027089a4.jpg,1,7,1037,267
002de4d94.jpg,13,90,1038,390
002f52f0c.jpg,12,138,1026,393
002fd89d4.jpg,24,18,251,135
00313e2d2.jpg,14,6,1027,276
00379666f.jpg,48,26,1000,289
0041a9867.jpg,24,239,1023,497
004344e9f.jpg,19,54,1028,233
0048970f9.jpg,1,58,1767,523
004fa8ff7.jpg,33,111,868,285
00512687e.jpg,5,16,1041,371
006183fb4.jpg,25,132,1023,335
0061febfc.jpg,53,127,957,341
0065d4964.jpg,7,75,687,272
00744bd58.jpg,3,240,1050,549
007886aef.jpg,59,75,658,302
008a4bc86.jpg,35,38,1018,262
009dd6c96.jpg,27,32,1029,366
00a427ac6.jpg,21,50,1025,405
00ac0fca6.jpg,102,118,918,487
00bb36bcf.jpg,30,80,911,396
00ca82e74.jpg,4,7,1035,375
00ccb53ec.jpg,72,102,987,496
00d101f4b.jpg,81,172,872,351
00dc02f06.jpg,9,5,1038,300
00e94fd56.jpg,4,1,1045,339
00edab267.jpg,1,88,1043,377
00f44f4e1.jpg,71,208,891,507
00ff45291.jpg,20,3,774,266
01034a160.jpg,21,181,1006,400
0110a64a9.jpg,4,4,1041,461
011490ea7.jpg,43,71,3443,516
01288355d.jpg,5,24,1037,288
012dbdb59.jpg,14,20,1042,273
0133056d1.jpg,158,693,612,800
013cb8d04.jpg,6,16,1048,313
013e23c3f.jpg,5,73,1038,388
01665bc26.jpg,52,68,954,425
0169cec0e.jpg,5,108,1026,420
016bbca6e.jpg,10,6,1026,393
016ca6f9c.jpg,4,58,1035,357
0170f741c.jpg,9,58,1038,409
0182ae396.jpg,84,145,976,402
01830c9cf.jpg,34,18,1031,474
01902b965.jpg,11,11,1032,288
01b1ecf7b.jpg,19,99,843,378
01b7a570a.jpg,14,200,966,440
01c91eadc.jpg,9,165,757,331
01d0bd024.jpg,4,10,1044,331
01d48763a.jpg,9,15,1032,491
01d8ab0b0.jpg,7,85,456,191
01d9c00d4.jpg,157,174,897,437
01ddb76dc.jpg,10,67,1045,337
01e1319b8.jpg,1,1,1050,322
01e527ebc.jpg,42,31,989,383
01ea0d37f.jpg,81,133,696,337
01f47d246.jpg,40,93,950,378
01f9f858a.jpg,25,1,479,220
01fb8d6d7.jpg,9,15,1050,470
020025fbc.jpg,235,225,1007,418
02160c50a.jpg,51,18,972,297
0219364ca.jpg,6,5,1040,363
02283cf37.jpg,51,66,602,297
0238ebb55.jpg,55,131,977,474
023ef338e.jpg,16,64,1018,372
02475f335.jpg,92,48,933,557
0247dd21a.jpg,158,13,567,358
024a01a2b.jpg,1,230,1050,634
0259dec9a.jpg,28,60,972,269
025bc349d.jpg,260,333,802,520
02614d547.jpg,80,161,997,522
02626b1c3.jpg,8,88,686,305
0273758b8.jpg,38,205,1035,353
0277b3be9.jpg,12,117,1042,389
027a8ca32.jpg,1,93,1050,280
027e9ff14.jpg,22,7,658,97
0294fcaf4.jpg,14,11,977,499
02950682c.jpg,11,50,1035,344
02a000c65.jpg,6,18,1040,470
02a7d8a15.jpg,17,27,882,387
02a9c6f67.jpg,23,149,1030,314
02ab81ee7.jpg,6,56,961,461
02aff2eda.jpg,43,102,493,247
02b063a20.jpg,1,76,696,256
02b4c72e2.jpg,14,138,1044,471
02bd94f1f.jpg,1,3,1031,386
02bdf0929.jpg,8,12,1040,202
02c298e3c.jpg,3,177,687,326
02c583932.jpg,12,12,1038,296
02cd0a66b.jpg,9,8,1025,326
02ce8eb2b.jpg,101,11,834,502
02cfedaf7.jpg,1,1,1043,329
02d726ca2.jpg,11,94,1024,337
02d8e1e1f.jpg,21,19,1038,382
02e409b9d.jpg,15,17,1044,412
02eeb5faa.jpg,35,37,1024,225
02ef5fee0.jpg,101,26,1022,509
02f1b3142.jpg,1,163,1039,526
02fa44546.jpg,44,64,1024,627
030772a9c.jpg,113,191,964,504
03140866f.jpg,8,7,1041,349
031544171.jpg,1,4,1039,696
031819a74.jpg,47,171,1007,547
0318b3c3d.jpg,1,103,834,281
032a75906.jpg,12,49,1028,446
032dcd794.jpg,38,72,1024,323
033304f3f.jpg,50,53,1028,577
03351bebd.jpg,5,231,1000,422
03376858d.jpg,256,118,786,460
034b5f550.jpg,33,135,902,299
034d33a63.jpg,70,49,1014,469
034dc700c.jpg,2,43,1050,338
0350e1267.jpg,6,5,1047,299
035285281.jpg,19,210,1007,511
0356c2829.jpg,29,159,1031,524
0359ba961.jpg,1,104,772,306
036ebab77.jpg,68,176,1034,436
0372369a2.jpg,8,60,1050,257
0376802cf.jpg,1,20,1047,216
0376c44c1.jpg,7,15,1050,301
0383ee2bb.jpg,72,68,1002,356
03960efed.jpg,2,2,1043,366
039b04adc.jpg,23,69,992,282
03a154d2a.jpg,1,73,831,289
03a8f9dc0.jpg,1,131,869,317
03b658f23.jpg,31,228,1010,480
03bbcaaf8.jpg,13,201,1023,472
03bcfbafc.jpg,19,21,1050,382
03bdbf2a6.jpg,31,28,1021,258
03cbe2800.jpg,5,93,1041,318
03ceb64ce.jpg,86,276,914,524
03d9f9959.jpg,13,116,1050,425
03e2aaaf9.jpg,44,159,1027,467
03eaaa1bc.jpg,1,1,1050,274
03eb52c65.jpg,19,27,834,281
03ee04174.jpg,50,36,988,429
03f12f50f.jpg,15,8,970,757
03f41c1f2.jpg,26,13,661,336
03f6f8101.jpg,5,8,1038,310
0408fdfa8.jpg,1,115,2272,590
041abc157.jpg,79,52,583,279
041bd63fd.jpg,41,235,1016,547
0432f301a.jpg,48,55,1015,490
043553c4f.jpg,5,52,889,320
043f01afd.jpg,76,62,682,295
0447d2303.jpg,14,4,700,273
045053a13.jpg,9,52,1039,450
045306b81.jpg,5,54,1043,274
0453f9eb7.jpg,1,202,1035,488
046474ea6.jpg,19,43,960,507
0474bf615.jpg,20,186,1043,383
047a40805.jpg,31,27,411,149
047b5bcb8.jpg,18,180,1009,465
048574198.jpg,3,26,1035,399
049def6fb.jpg,16,73,1039,386
04a5a7aed.jpg,10,1,1050,304
04a763f43.jpg,79,203,988,507
04ada1eaa.jpg,1,98,1050,382
04b0f6f59.jpg,21,185,884,365
04c0cf092.jpg,55,16,971,332
04c54975e.jpg,14,325,1050,558
04cd8c8db.jpg,1,78,1050,317
04d63dabe.jpg,15,137,1050,477
04ea55d4d.jpg,23,129,886,363
04eb7096a.jpg,50,181,687,357
04ec29ecc.jpg,33,254,1027,441
04f26a748.jpg,110,133,973,458
05102ebd0.jpg,60,173,964,440
051507abb.jpg,1,107,690,260
0519edcfa.jpg,18,46,1027,389
051c05e52.jpg,3,38,689,309
051f7bd26.jpg,113,127,985,517
05285d480.jpg,1,42,1045,442
05342f3a0.jpg,22,185,1034,444
05388dc21.jpg,22,185,994,443
0538d3032.jpg,10,10,1028,524
053951fbe.jpg,11,12,913,372
0543e6030.jpg,11,31,903,248
0547d9c05.jpg,5,6,1046,224
0547fccaa.jpg,3,88,1043,328
054f503f8.jpg,31,151,1038,418
055c0a041.jpg,144,29,1042,551
055ca674d.jpg,88,236,905,429
0569b3d21.jpg,1,236,1047,460
056c54434.jpg,86,148,907,389
058079d6d.jpg,34,8,1037,366
0589c3bcc.jpg,11,45,613,204
0590607d3.jpg,23,99,1020,312
0599dc841.jpg,34,166,1006,534
05abf15c0.jpg,26,151,1000,444
05addb78c.jpg,88,116,563,303
05b6fbe96.jpg,2,58,645,219
05bac8b66.jpg,1,109,967,357
05bd2e6bb.jpg,3,114,1041,511
05dfa0c72.jpg,61,240,989,449
05e0da16b.jpg,7,201,1039,568
05e145d7a.jpg,1,8,1044,300
05f560c71.jpg,27,174,842,324
05ff833b9.jpg,1,58,1047,437
0613d30ca.jpg,13,158,691,307
061f7329e.jpg,206,89,814,547
06200081a.jpg,82,157,721,287
0635c2ac9.jpg,54,197,1031,489
063752d10.jpg,38,33,1000,490
063aa0d9c.jpg,6,169,1038,315
063e305e6.jpg,46,120,1022,390
063f5cd24.jpg,1,25,1047,405
0641ae9b5.jpg,19,61,1033,342
064561561.jpg,23,46,1019,345
0646a24b2.jpg,9,33,699,225
0646d1690.jpg,5,60,1027,272
0648b2a7c.jpg,53,6,1007,412
0667cb9e4.jpg,9,51,1014,496
068dbd223.jpg,13,53,893,299
069948176.jpg,71,179,997,537
069c0d382.jpg,1,81,569,280
069cdd4b0.jpg,76,133,1021,480
06a8cf283.jpg,40,67,582,268
06af8bc75.jpg,0,25,1045,249
06b8b398f.jpg,8,113,1041,517
06b9c4981.jpg,1,14,1044,199
06baaab99.jpg,21,40,733,341
