Image,x0,y0,x1,y1
0000e88ab.jpg,224,160,872,432
0001f9222.jpg,0,0,752,280
00029d126.jpg,40,32,1016,480
00050a15a.jpg,24,176,1040,416
0005c1ef8.jpg,8,144,1024,336
0006e997e.jpg,0,0,960,256
000a6daec.jpg,0,7,1040,458
000f0f2bf.jpg,40,160,968,488
0016b897a.jpg,24,64,1040,384
001c1ac5f.jpg,24,128,960,440
001cae55b.jpg,16,8,1024,456
001d7450c.jpg,0,192,1040,472
00200e115.jpg,232,0,1000,600
00245a598.jpg,16,88,1024,344
002b4615d.jpg,40,64,1000,448
002f99f01.jpg,0,0,886,416
00355ff28.jpg,0,0,1050,285
00357e37a.jpg,8,8,1048,336
003795857.jpg,0,0,1050,328
0041880bf.jpg,8,72,688,312
0043da555.jpg,48,216,984,560
00442c882.jpg,56,88,832,472
00464ff65.jpg,16,232,1040,608
004775679.jpg,24,152,960,368
004ae9e26.jpg,0,0,1050,305
004c0f43b.jpg,40,160,1000,416
004e8ad5b.jpg,48,128,992,504
004f87702.jpg,16,216,1040,544
0050ef29d.jpg,16,24,1024,376
00514c876.jpg,8,40,888,296
0052ce2f5.jpg,232,224,848,432
00537ec91.jpg,336,120,544,264
005ce3100.jpg,40,120,984,408
00600ce17.jpg,16,96,1024,496
006017ddf.jpg,16,0,1050,336
0060f764a.jpg,0,0,1048,283
006500b3d.jpg,0,0,1040,283
006506edf.jpg,8,8,1040,408
0067b3a20.jpg,112,288,944,544
006bdc6ff.jpg,16,112,1032,312
00713060e.jpg,8,8,1048,460
007218187.jpg,48,192,840,480
0073118da.jpg,0,72,1040,336
007a7846f.jpg,8,32,1050,400
007b62e05.jpg,8,312,1040,536
007f3eb46.jpg,16,32,1040,384
008124524.jpg,40,0,1040,272
0084fe40b.jpg,0,0,677,227
0085064af.jpg,32,8,856,424
0085a6bd0.jpg,72,152,856,432
00869b59e.jpg,56,32,816,490
008bf89fc.jpg,56,192,992,432
008ebc50d.jpg,0,64,1048,400
00910010d.jpg,256,264,584,480
00917baa4.jpg,16,112,933,368
0093454b6.jpg,24,48,1024,296
009431af0.jpg,184,152,728,544
009589b45.jpg,24,0,1050,356
0095fe89c.jpg,48,208,1000,504
00961802f.jpg,0,0,691,280
009687166.jpg,72,176,1000,496
0096c8ff3.jpg,0,0,800,296
009c45bc7.jpg,64,152,1016,480
00a3dd76f.jpg,32,104,1048,464
00a46c559.jpg,24,48,960,360
00a4de95e.jpg,16,32,1024,344
00a70e649.jpg,8,240,872,456
00a9dc47d.jpg,0,0,365,102
00aae723d.jpg,8,304,1032,600
00b7ffb8a.jpg,8,72,1040,480
00b92e9bf.jpg,16,72,680,312
00bc4dade.jpg,24,160,1024,432
00c59bce9.jpg,0,168,1048,408
00caa5c60.jpg,56,80,912,536
00cf9982e.jpg,32,152,1024,504
00d07df97.jpg,8,56,1040,344
00d1615b1.jpg,32,160,984,440
00d43f154.jpg,24,120,1032,304
00d4a4967.jpg,80,152,1004,584
00d641885.jpg,32,24,1016,496
00d6cbcbf.jpg,184,240,920,408
00d7dc401.jpg,0,8,1048,496
00d831b06.jpg,0,0,992,319
00d9e8278.jpg,40,128,880,352
00dcd026f.jpg,48,200,1040,456
00de0f4c8.jpg,144,88,1008,432
00ded1101.jpg,8,144,1040,424
00e059776.jpg,72,152,984,304
00e4afee9.jpg,8,176,1048,384
00e68dc59.jpg,16,208,1024,448
00e9e5122.jpg,48,208,984,392
00eaedfab.jpg,32,16,1048,216
00ec09075.jpg,16,144,680,312
00ec13a19.jpg,184,248,856,592
00f0bde81.jpg,32,40,1040,320
00f5927ae.jpg,8,152,872,432
00f5aba71.jpg,0,0,1050,277
00fee3975.jpg,304,232,752,400
010262224.jpg,0,8,1048,304
01043c88f.jpg,8,40,1016,344
01043cc4b.jpg,16,88,1032,456
01070510c.jpg,16,48,896,336
01078982f.jpg,32,112,992,296
0108c3e2b.jpg,16,88,1016,448
010a1f0eb.jpg,8,176,1048,424
010d37b13.jpg,24,48,664,392
011258703.jpg,24,264,1024,528
0117ac323.jpg,72,224,968,544
0118a64b8.jpg,16,160,1016,464
01216c238.jpg,80,112,920,496
01237f1ce.jpg,32,96,1016,408
0124d2989.jpg,40,184,1032,520
01324f822.jpg,0,0,1050,272
0135bf774.jpg,40,144,752,320
0138b56d1.jpg,152,24,848,584
0139248b7.jpg,16,192,1008,488
013935e54.jpg,16,48,1032,368
01396f4d1.jpg,0,192,1050,488
01425e516.jpg,128,128,920,448
0145d6294.jpg,0,0,1040,304
0148ba553.jpg,8,0,1040,312
0148dbdd2.jpg,0,0,1040,240
014a7cdf0.jpg,0,0,488,232
014c052b5.jpg,0,0,816,320
014c0deb5.jpg,0,16,1048,632
014c130f2.jpg,160,104,992,416
0150758c7.jpg,216,8,880,450
0150f16ec.jpg,16,8,1040,440
015889aa3.jpg,16,208,1032,368
01598711e.jpg,16,112,1048,544
0159c02d4.jpg,0,16,1040,254
015a0c58d.jpg,0,0,640,405
015b868a1.jpg,8,40,568,216
016173748.jpg,8,120,1048,504
0163ab035.jpg,24,72,1040,408
0165c60f3.jpg,0,0,376,112
016768c94.jpg,48,168,856,376
016791b76.jpg,64,40,944,368
01699beb5.jpg,0,0,1032,170
016aa69cf.jpg,0,0,1050,272
016ac2f79.jpg,40,168,1016,456
016af7b1e.jpg,8,112,976,400
016dfbd1e.jpg,56,56,992,448
016f26c74.jpg,128,176,920,448
0172a0826.jpg,0,8,1032,560
0172cb96f.jpg,8,16,896,392
0173fc207.jpg,56,152,800,504
01751644e.jpg,48,152,1000,496
0175e8d3f.jpg,0,48,896,528
01768ab81.jpg,0,0,664,409
01793bd75.jpg,0,0,592,192
0179e07f2.jpg,136,0,1016,584
017b7d5e9.jpg,8,24,1032,360
017bd9a69.jpg,0,40,1050,544
017c8297e.jpg,8,128,688,368
017f9cf06.jpg,48,224,880,408
018345b71.jpg,24,120,1000,640
0183ee449.jpg,32,144,952,544
0187bfdff.jpg,80,160,2192,512
018953e38.jpg,8,168,1032,432
018a44909.jpg,0,136,832,392
018b81a56.jpg,32,168,1000,472
018e22952.jpg,32,88,832,288
01917b508.jpg,304,152,728,328
01919fc42.jpg,32,96,1024,464
0197be7fd.jpg,24,96,1040,456
0198f6931.jpg,48,16,2608,268
019b53508.jpg,288,240,824,424
019e9a958.jpg,24,56,1024,352
01aa167a0.jpg,16,16,936,448
01af1e5f9.jpg,16,16,1008,424
01affda48.jpg,8,8,1040,312
01b7e3f36.jpg,8,160,1040,408
01bf61268.jpg,16,48,1032,328
01bfc5ce9.jpg,64,72,992,560
01c26d722.jpg,0,72,1048,392
01c3bf950.jpg,16,56,1040,336
01c602e06.jpg,24,96,1008,392
01c75e4c0.jpg,184,176,712,624
01c941173.jpg,24,104,816,352
01c98f7c1.jpg,8,112,1040,392
01c9fe65c.jpg,0,200,880,384
01cd70a58.jpg,0,0,699,450
01cd7a357.jpg,16,160,1040,424
